Name,  Unique?, Length, Minimized1 Length, Minimized 2 length, Lossless?, Mirrored in Patterns?, Inverted in Patterns?, Flipped in Patterns? 
#065_-_Knitting_Patterns_Book_250_(Japanese), True, 1767, 1240, True, False, False, False
#2Worsted_ribbed_head_band_with_short_rows_CO_90, True, 81, 93, True, False, False, True
#XXIII;_modified_to_remove_purls, True, 14, 14, True, False, False, False
&#x27;peppermint&#x27;_repeat, True, 24, 24, True, True, False, False
&#x27;Winging_it&#x27;_Carry_Bag, True, 78, 78, True, False, False, False
&#x27;Winging_it&#x27;_Carry_Bag_(Hearts), True, 251, 239, True, False, False, False
&quot;Leaf_Pattern;_very_pretty_&quot;, True, 73, 73, True, False, False, False
&quot;Leaf_Pattern;_very_pretty_&quot;_2, True, 73, 73, True, False, False, False
000, True, 7, 6, True, False, False, True
0216, False, 17, 17, True, False, False, False
1, True, 65, 65, True, False, False, False
10&quot;_Doily, True, 352, 349, True, False, False, False
1000_Knitting_patterns_Chart_187, True, 60, 60, True, False, False, False
1000_Knitting_patterns_Chart_203, True, 107, 107, True, False, False, False
1000_Knitting_patterns_Chart_259, True, 296, 259, True, False, False, False
1000_Knitting_patterns_Chart_307, True, 63, 51, True, False, False, False
1000_Knitting_patterns_Chart_330, True, 56, 56, True, False, False, False
1000_Knitting_patterns_Chart_330_(variation), True, 102, 102, True, False, False, False
1000_Knitting_patterns_Chart_330_(variation_2), True, 132, 132, True, False, False, False
1000_Knitting_patterns_Chart_330_(variation_3), True, 248, 248, True, False, False, False
1026_test_new, True, 257, 242, True, False, False, False
102exp, True, 15, 15, True, False, False, False
111, True, 14, 10, True, False, False, False
111_2, False, 14, 10, True, False, False, False
111_3, False, 14, 10, True, False, False, False
111_4, True, 13, 9, True, False, False, False
121_Begins, True, 223, 215, True, False, False, False
121_scarf, True, 247, 247, True, False, False, False
123123, False, 55, 55, True, False, False, False
12_experimental_shawl, True, 19, 17, True, False, False, False
13-st_Leaf_Panel, True, 49, 47, True, False, False, False
132__Fortsetzung, True, 23, 23, True, False, False, False
13a, True, 122, 108, True, False, False, False
13_stich_lace, True, 45, 35, True, True, False, False
14-Round_Lace_egde;_circ, False, 55, 55, True, False, False, False
14-Round_Lace_egde, True, 55, 55, True, False, False, False
14-st_ogee_lace, True, 247, 193, True, False, False, False
14_Row_Leaf_edging, True, 88, 86, True, False, False, False
15-st_lace_border, True, 115, 106, True, False, False, False
16_5&quot;_Centrepiece, True, 773, 751, True, False, False, False
16_Row_Cable_Twist_for_Copy_Cat_Vest, True, 20, 20, True, False, False, False
16_section_lehe, True, 109, 101, True, False, False, False
16_section_lehemaikell, True, 330, 319, True, False, False, False
16_section_maikellkiri, True, 267, 242, True, False, False, False
17_Lace, True, 59, 59, True, False, False, False
1879-03-15_MF_Nina_Hunt_Pattern, True, 99, 97, True, False, False, False
1879-04-05_Cherryfield_Edging, True, 75, 67, True, False, False, False
1879-04-26_MF_Alice_and_Agnes_insertion_pattern, True, 51, 37, True, False, False, False
1879-07-12_Nella_Franklin&#x27;s_Broad_Edging, True, 198, 196, True, False, False, False
